id,name,state_id
19100, Alappuzha,18
19101, Ernakulam,18
19102,Idukki,18
19103,Kannur,18
19104,Kasaragod,18
19105,Kollam,18
19106,Kottayam,18
19107,Kozhikode,18
19108,Malappuram,18
19109,Palakkad,18
19110,Pathanamthitta,18
19111,Thiruvananthapuram,18
19112,Thrissur,18
19113,Wayanad,18
19114,Nicobars,1
19115,North and Middle Andaman,1
19116,South Andamans,1
19117,Anantapur District,2
19118,Chittoor,2
19119,East Godavari,2
19120,Guntur,2
19121,Kadapa District,2
19122,Krishna,2
19123,Kurnool district,2
19124,Nellore district,2
19125,Prakasam,2
19126,Srikakulam,2
19127,Visakhapatanam,2
19128,Vizianagaram District,2
19129,West Godavari,2
19130,Anjaw,3
19131,Changlang,3
19132,Dibang Valley,3
19133,East Kameng,3
19134,East Siang,3
19135,Kra Daadi,3
19136,Kurung Kumey,3
19137,Lohit,3
19138,Longding,3
19139,Lower Dibang Valley,3
19140,Lower Siang,3
19141,Lower Subansiri,3
19142,Namsai,3
19143,Papum Pare,3
19144,Siang,3
19145,Tawang,3
19146,Tirap,3
19147,Upper Siang,3
19148,Upper Subansiri,3
19149,West Kameng,3
19150,West Siang,3
19151,Baksa,4
19152,Barpeta,4
19153,Biswanath,4
19154,Bongaigaon,4
19155,Cachar,4
19156,Charaideo,4
19157,Chirang,4
19158,Darrang district,4
19159,Dhemaji,4
19160,Dhubri,4
19161,Dibrugarh,4
19162,Dima Hasao,4
19163,Goalpara,4
19164,Golaghat,4
19165,Hailakandi,4
19166,Hojai,4
19167,Jorhat district,4
19168,Kamrup,4
19169,Kamrup Metropolitan,4
19170,Karbi Anglong,4
19171,Karimganj,4
19172,Kokrajhar,4
19173,Lakhimpur,4
19174,Majuli,4
19175,Marigaon,4
19176,Nagaon,4
19177,Nalbari,4
19178,Sivasagar,4
19179,Sonitpur,4
19180,South Salmara Mancachar,4
19181,Tinsukia,4
19182,Udalguri,4
19183,West Karbi Anglong,4
19184,Araria,5
19185,Arwal,5
19186,Aurangabad,5
19187,Banka,5
19188,Begusarai,5
19189,Bhagalpur,5
19190,Bhojpur,5
19191,Buxar,5
19192,Darbhanga district,5
19193,Gaya,5
19194,Gopalganj,5
19195,Jamui,5
19196,Jehanabad,5
19197,Kaimur (Bhabua),5
19198,Katihar,5
19199,Khagaria,5
19200,Kishanganj,5
19201,Lakhisarai,5
19202,Madhepura,5
19203,Madhubani,5
19204,Munger,5
19205,Muzaffarpur,5
19206,Nalanda,5
19207,Nawada,5
